epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
6,405,3793.25537109375,3875.01513671875,3882.91064453125,3877.5625,3891.074462890625,2.682913064956665,4.109706401824951,0.013469688594341278,0.01361730508506298,0.013487792573869228,0.013459224253892899,0.015817657113075256,0.4563191533088684,0.5174506902694702,0.473173052072525,0.4566427171230316,0.5805116891860962,0.12391124665737152,0.12449464201927185,0.1234636902809143,0.12386925518512726,0.14243750274181366,,,,,,,,,,,,,,,,
7,449,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
7,463,,,,,,,,,,,,,,,,,,,,,,,,,,0.8154294490814209,0.498062402009964,0.8519631624221802,0.9144739508628845,0.6901472210884094,0.8310344815254211,5.073592662811279,0.8655758500099182,0.6567459106445312,0.7644382119178772,0.8133620619773865,0.8592535853385925,0.8448275923728943
7,463,3784.64013671875,3870.08740234375,3880.49365234375,3875.674560546875,3890.6552734375,2.7381739616394043,3.8066182136535645,0.01253572478890419,0.012540711089968681,0.01248225662857294,0.012476060539484024,0.014531321823596954,0.4213245213031769,0.47205013036727905,0.4355400800704956,0.42233797907829285,0.5263655781745911,0.117723748087883,0.11762433499097824,0.11701606959104538,0.11739476770162582,0.1333257555961609,,,,,,,,,,,,,,,,
8,499,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
8,521,,,,,,,,,,,,,,,,,,,,,,,,,,0.8285489082336426,0.5538862347602844,0.8645528554916382,0.9070672392845154,0.6904909014701843,0.8280172348022461,4.723308563232422,0.9038397669792175,0.6912175416946411,0.7812219262123108,0.8262931108474731,0.8535285592079163,0.8793103694915771
8,521,3748.992431640625,3843.1142578125,3867.353515625,3862.252197265625,3885.456787109375,2.0225465297698975,3.749826192855835,0.012784196995198727,0.013065339997410774,0.01280488446354866,0.012739157304167747,0.015130704268813133,0.4058281481266022,0.4499143958091736,0.41771918535232544,0.40594837069511414,0.5025796294212341,0.12005607038736343,0.12091176956892014,0.11958298832178116,0.11935511976480484,0.13770122826099396,,,,,,,,,,,,,,,,
9,549,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
9,579,,,,,,,,,,,,,,,,,,,,,,,,,,0.8180339932441711,0.49493172764778137,0.8377673625946045,0.9067903757095337,0.6924235224723816,0.8310344815254211,5.160336017608643,0.8576661944389343,0.6564828753471375,0.7512243986129761,0.8206896781921387,0.8741587400436401,0.8103448152542114
9,579,3756.377197265625,3842.357666015625,3864.552734375,3865.5205078125,3885.170166015625,1.5224359035491943,3.5228521823883057,0.012048867531120777,0.01200474239885807,0.011979622766375542,0.011972975917160511,0.0139915207400918,0.3835117518901825,0.41935640573501587,0.39299124479293823,0.38394421339035034,0.4700428247451782,0.11301175504922867,0.11401626467704773,0.11301931738853455,0.11279519647359848,0.12866534292697906,,,,,,,,,,,,,,,,
10,599,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
10,637,,,,,,,,,,,,,,,,,,,,,,,,,,0.8494320511817932,0.5699061751365662,0.8739446401596069,0.9072064161300659,0.6942178606987,0.8280172348022461,4.605307579040527,0.9181936383247375,0.7096691131591797,0.8041381239891052,0.8306034207344055,0.8356092572212219,0.9181034564971924
10,637,3723.480712890625,3816.565673828125,3846.653076171875,3860.887939453125,3882.011962890625,1.539014220237732,3.4922304153442383,0.01198154129087925,0.012101140804588795,0.012006575241684914,0.011911006644368172,0.01471729390323162,0.37805238366127014,0.4069077968597412,0.3868657052516937,0.3772604763507843,0.45945367217063904,0.1125277653336525,0.11374182254076004,0.1127159520983696,0.11228825151920319,0.1337771713733673,,,,,,,,,,,,,,,,
11,649,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
11,695,,,,,,,,,,,,,,,,,,,,,,,,,,0.7933180928230286,0.5438891649246216,0.868934690952301,0.9128008484840393,0.7022799849510193,0.8379310369491577,4.978758335113525,0.9045977592468262,0.6686036586761475,0.771267831325531,0.8056034445762634,0.8890196681022644,0.8534482717514038
11,695,3772.273681640625,3839.3427734375,3865.731689453125,3870.38134765625,3890.298583984375,2.0032050609588623,3.382842540740967,0.011112374253571033,0.011278592050075531,0.011134562082588673,0.011089875362813473,0.014636332169175148,0.370242714881897,0.39581865072250366,0.377932608127594,0.3700020909309387,0.45675212144851685,0.1059722900390625,0.1071678027510643,0.10637850314378738,0.10587143152952194,0.13252761960029602,,,,,,,,,,,,,,,,
12,699,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
12,749,,,,,,,,,,,,,,,,,,,,,,,1.9999999494757503e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
12,753,,,,,,,,,,,,,,,,,,,,,,,,,,0.8105699419975281,0.5384326577186584,0.8446651101112366,0.90309077501297,0.6952522397041321,0.8336206674575806,4.957515239715576,0.897780179977417,0.6745012998580933,0.7771887183189392,0.8241379261016846,0.8302896618843079,0.8793103694915771
12,753,3783.596923828125,3845.01513671875,3867.70361328125,3875.897705078125,3889.8759765625,1.1963969469070435,3.405169725418091,0.012241778895258904,0.012347664684057236,0.012224389240145683,0.01218835636973381,0.01496186200529337,0.36276569962501526,0.38369569182395935,0.36802953481674194,0.360527366399765,0.4480578601360321,0.11173988878726959,0.11267055571079254,0.11146353930234909,0.11123530566692352,0.13402701914310455,,,,,,,,,,,,,,,,
