epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
0,57,,,,,,,,,,,,,,,,,,,,,,0.7632030248641968,0.3978915214538574,0.7363488078117371,0.839898943901062,0.5853624939918518,0.8137931227684021,4.846140384674072,0.8404130339622498,0.5805472731590271,0.6463966965675354,0.8133620619773865,0.7602116465568542,0.7931034564971924
0,57,3748.247802734375,3753.226318359375,3691.69189453125,3761.94287109375,36.07979965209961,5.851573467254639,0.020197546109557152,0.019290253520011902,0.020050302147865295,0.022348498925566673,0.9936529397964478,1.0430179834365845,0.9980168342590332,1.0755808353424072,0.16124394536018372,0.16045579314231873,0.15917618572711945,0.18506017327308655,,,,,,,,,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
1,115,,,,,,,,,,,,,,,,,,,,,,0.7990477085113525,0.46446454524993896,0.7953296899795532,0.8951943516731262,0.6388556957244873,0.8004310131072998,4.260084629058838,0.88902348279953,0.6317561268806458,0.7125252485275269,0.8064655065536499,0.7853923439979553,0.8405172228813171
1,115,3805.21875,3693.326416015625,3651.52587890625,3685.491455078125,15.690524101257324,4.4958696365356445,0.01638387143611908,0.016624746844172478,0.01631852053105831,0.01985803060233593,0.702324390411377,0.7277805209159851,0.7031911611557007,0.7618786096572876,0.1499365270137787,0.15243162214756012,0.1496799886226654,0.17533639073371887,,,,,,,,,,,,,,,,
2,149,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
2,173,,,,,,,,,,,,,,,,,,,,,,0.8343299627304077,0.5117600560188293,0.839090883731842,0.9255265593528748,0.6813012957572937,0.815517246723175,3.850628614425659,0.9200725555419922,0.6730449795722961,0.7238971590995789,0.8168103694915771,0.7999693751335144,0.8836206793785095
2,173,3855.0322265625,3718.116455078125,3724.815673828125,3769.455810546875,10.573604583740234,3.99127197265625,0.01580658368766308,0.01615319587290287,0.015694662928581238,0.019466042518615723,0.5935844779014587,0.6034998297691345,0.5968409776687622,0.6633166670799255,0.1430666297674179,0.14475055038928986,0.14215277135372162,0.16924461722373962,,,,,,,,,,,,,,,,
3,199,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
3,231,,,,,,,,,,,,,,,,,,,,,,0.829594612121582,0.531578540802002,0.8664851784706116,0.9310694336891174,0.692383885383606,0.8137931227684021,3.821739673614502,0.9318863153457642,0.680586576461792,0.7711547017097473,0.8090517520904541,0.8520134687423706,0.8879310488700867
3,231,3838.076416015625,3711.434326171875,3674.4677734375,3750.3447265625,7.926296234130859,3.7716758251190186,0.01591675356030464,0.01619095541536808,0.015936229377985,0.01833266392350197,0.5434913039207458,0.5467461943626404,0.54461270570755,0.601751446723938,0.14587260782718658,0.14648360013961792,0.145687535405159,0.1635511964559555,,,,,,,,,,,,,,,,
4,249,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
4,289,,,,,,,,,,,,,,,,,,,,,,0.834870457649231,0.5313665270805359,0.8575014472007751,0.938920795917511,0.6984788775444031,0.818965494632721,3.830869197845459,0.9245437979698181,0.683118462562561,0.7791951894760132,0.806034505367279,0.8194872736930847,0.9094827771186829
4,289,3855.648681640625,3718.996826171875,3687.625,3780.4052734375,7.60073184967041,3.577275037765503,0.01441049575805664,0.014735748060047626,0.014351940713822842,0.01696234755218029,0.5219272971153259,0.5253735780715942,0.5211727023124695,0.5824323296546936,0.13521693646907806,0.13693967461585999,0.13513217866420746,0.15474434196949005,,,,,,,,,,,,,,,,
5,299,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
5,347,,,,,,,,,,,,,,,,,,,,,,0.8431916832923889,0.5416257977485657,0.8585858345031738,0.9385052919387817,0.7052339911460876,0.8245689868927002,3.7513856887817383,0.9111374616622925,0.6924087405204773,0.7923468351364136,0.8120689392089844,0.8301790356636047,0.892241358757019
5,347,3857.78125,3745.4072265625,3746.269287109375,3824.28759765625,5.681207180023193,3.414151668548584,0.014362240210175514,0.014435519464313984,0.014310753904283047,0.017391471192240715,0.4790826439857483,0.48145592212677,0.47985848784446716,0.5378299355506897,0.13628479838371277,0.13644810020923615,0.13559001684188843,0.15838870406150818,,,,,,,,,,,,,,,,
6,349,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
6,399,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
6,405,,,,,,,,,,,,,,,,,,,,,,0.8373735547065735,0.5573915243148804,0.8528544306755066,0.9214532375335693,0.7073197960853577,0.8150861859321594,3.6797847747802734,0.9188886284828186,0.6973825693130493,0.7863104343414307,0.824999988079071,0.8659838438034058,0.8405172228813171
6,405,3862.888916015625,3756.89013671875,3739.261962890625,3803.351318359375,4.804454326629639,3.4475786685943604,0.014696009457111359,0.01494661159813404,0.014586233533918858,0.017286239191889763,0.48236241936683655,0.48602038621902466,0.48278185725212097,0.5458551049232483,0.13848938047885895,0.13891471922397614,0.1373327225446701,0.15675471723079681,,,,,,,,,,,,,,,,
7,449,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
7,463,,,,,,,,,,,,,,,,,,,,,,0.8214574456214905,0.5550872683525085,0.8618066310882568,0.9291477203369141,0.7166793346405029,0.8293103575706482,3.8426921367645264,0.9219516515731812,0.6882723569869995,0.7953008413314819,0.8073275685310364,0.8410883545875549,0.892241358757019
7,463,3873.51513671875,3797.170166015625,3790.541015625,3836.6259765625,3.109367847442627,3.279665470123291,0.013908257707953453,0.01418275386095047,0.013870511204004288,0.018178729340434074,0.44949328899383545,0.45701974630355835,0.4495837390422821,0.5279719829559326,0.12993735074996948,0.13109315931797028,0.12911434471607208,0.1573026478290558,,,,,,,,,,,,,,,,
8,499,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
8,521,,,,,,,,,,,,,,,,,,,,,,0.8180346488952637,0.5098698139190674,0.8316070437431335,0.9266770482063293,0.7092583775520325,0.8237069249153137,4.2258806228637695,0.9052917957305908,0.6639522314071655,0.7305804491043091,0.7900862097740173,0.8216484785079956,0.8706896305084229
8,521,3873.509765625,3798.47509765625,3792.59912109375,3845.195068359375,4.055670261383057,3.305246114730835,0.014834609813988209,0.01495751366019249,0.01477817352861166,0.01855134218931198,0.4495415985584259,0.4495745301246643,0.4474547803401947,0.5147992968559265,0.13417130708694458,0.13508078455924988,0.13397715985774994,0.16090449690818787,,,,,,,,,,,,,,,,
9,549,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
9,579,,,,,,,,,,,,,,,,,,,,,,0.8434097766876221,0.5649531483650208,0.8913401365280151,0.9259494543075562,0.711198627948761,0.8275862336158752,3.5964736938476562,0.934903621673584,0.7041814923286438,0.8047949075698853,0.8163793087005615,0.8751553893089294,0.9094827771186829
9,579,3874.238037109375,3784.4697265625,3787.821044921875,3834.01611328125,2.535285711288452,3.255333185195923,0.014097782783210278,0.014537390321493149,0.014142206870019436,0.020772302523255348,0.42513903975486755,0.43338000774383545,0.42817968130111694,0.5128530263900757,0.13044479489326477,0.13304388523101807,0.12978093326091766,0.17574696242809296,,,,,,,,,,,,,,,,
10,599,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
