epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4374.46,0.96118,0.6838,0.00314,0.77039,0.83532,0.88221,0.66727,0.96042,0.73564,0.00396,0.00121591,0.00121591,0.00121591
43,4477.33,0.9478,0.5565,0.00313,0.79763,0.75988,0.79973,0.60011,0.98409,0.91908,0.00411,0.00120491,0.00120491,0.00120491
44,4579.89,0.9505,0.61265,0.00317,0.86592,0.74138,0.85686,0.62125,1.01258,0.73714,0.00427,0.00119391,0.00119391,0.00119391
45,4683.31,0.96538,0.59752,0.00309,0.82459,0.76859,0.85122,0.63661,0.93029,0.79146,0.00393,0.0011829,0.0011829,0.0011829
46,4785.49,0.92795,0.55056,0.00303,0.81357,0.78454,0.85344,0.65292,0.94546,0.73751,0.00399,0.0011719,0.0011719,0.0011719
47,4888.67,0.91316,0.51756,0.00289,0.78556,0.84833,0.88745,0.67715,0.91668,0.67082,0.00382,0.0011609,0.0011609,0.0011609
48,4991.41,0.93975,0.48213,0.00298,0.83088,0.77941,0.85898,0.65087,0.95704,0.76841,0.00395,0.0011499,0.0011499,0.0011499
49,5108.45,0.91683,0.53475,0.00292,0.84953,0.81423,0.88143,0.65997,0.93915,0.70455,0.00392,0.00113889,0.00113889,0.00113889
50,5225.71,0.90801,0.50834,0.00289,0.8086,0.82028,0.87567,0.67601,0.90713,0.74413,0.00378,0.00112789,0.00112789,0.00112789
51,5328.16,0.90634,0.46602,0.00304,0.86296,0.78448,0.87569,0.64938,0.98639,0.72238,0.00414,0.00111689,0.00111689,0.00111689
52,5430.3,0.92442,0.5304,0.00302,0.86031,0.80172,0.87538,0.65659,0.94091,0.69947,0.0039,0.00110589,0.00110589,0.00110589
53,5531.62,0.9195,0.5531,0.00295,0.82082,0.85617,0.8892,0.66782,0.96048,0.70592,0.00406,0.00109489,0.00109489,0.00109489
