epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
4,289,3676.8125,3809.701416015625,3786.02490234375,3839.174560546875,3861.539794921875,4.597700595855713,4.23773193359375,0.013909929431974888,0.014090627431869507,0.014064136892557144,0.01389680989086628,0.01747121289372444,0.47671476006507874,0.5098556876182556,0.4847053587436676,0.4773995280265808,0.5737524628639221,0.13077272474765778,0.12931594252586365,0.12956811487674713,0.12992450594902039,0.15448884665966034,,,,,,,,,,,,,,,,
5,299,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
5,347,,,,,,,,,,,,,,,,,,,,,,,,,,0.8128147125244141,0.514183759689331,0.8032789826393127,0.920067310333252,0.6792051792144775,0.8254310488700867,5.267745494842529,0.901706874370575,0.6634992361068726,0.7435742020606995,0.8198275566101074,0.8409034609794617,0.8103448152542114
5,347,3678.382568359375,3805.11962890625,3776.408447265625,3842.446044921875,3864.720947265625,4.5065202713012695,3.983314037322998,0.01341957040131092,0.013364648446440697,0.013272790238261223,0.013362746685743332,0.016125528141856194,0.4542278051376343,0.4749312698841095,0.45970892906188965,0.4541934132575989,0.5384172797203064,0.12147631496191025,0.12156456708908081,0.12081700563430786,0.12113147228956223,0.14206407964229584,,,,,,,,,,,,,,,,
6,349,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
6,399,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
6,405,,,,,,,,,,,,,,,,,,,,,,,,,,0.8002476692199707,0.5054229497909546,0.8392857313156128,0.9025501012802124,0.6631718277931213,0.815517246723175,5.094801902770996,0.8869550228118896,0.6528353095054626,0.7214739918708801,0.8086206912994385,0.8166666626930237,0.8706896305084229
6,405,3719.2802734375,3809.173583984375,3798.07861328125,3850.74462890625,3870.554931640625,3.5643234252929688,4.031104564666748,0.0141249755397439,0.01436817366629839,0.014256884343922138,0.014141342602670193,0.016672544181346893,0.44621407985687256,0.46061578392982483,0.4484027326107025,0.4450104534626007,0.5176873207092285,0.12993912398815155,0.13235758244991302,0.13095872104167938,0.1303485929965973,0.14907331764698029,,,,,,,,,,,,,,,,
7,449,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
7,463,,,,,,,,,,,,,,,,,,,,,,,,,,0.8111339807510376,0.5084957480430603,0.8580539226531982,0.902040421962738,0.6764612197875977,0.8232758641242981,5.039159774780273,0.8859970569610596,0.6598148345947266,0.7589107751846313,0.8090517520904541,0.8551966547966003,0.8620689511299133
7,463,3726.670166015625,3810.0732421875,3797.3427734375,3854.169189453125,3874.18115234375,1.5251988172531128,3.6109001636505127,0.012696963734924793,0.012748302891850471,0.012597606517374516,0.012699750252068043,0.01503363810479641,0.39330995082855225,0.4071633517742157,0.39778804779052734,0.394784152507782,0.46389347314834595,0.11943140625953674,0.1195792704820633,0.11849268525838852,0.11926662176847458,0.13576962053775787,,,,,,,,,,,,,,,,
8,499,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
8,521,,,,,,,,,,,,,,,,,,,,,,,,,,0.8128135204315186,0.5262101292610168,0.8550551533699036,0.9061914682388306,0.6773483753204346,0.8254310488700867,4.989287376403809,0.8914541006088257,0.6695118546485901,0.7606964707374573,0.8099138140678406,0.8441407084465027,0.8663793206214905
8,521,3722.9384765625,3791.00439453125,3800.041015625,3844.705810546875,3865.481689453125,1.8015029430389404,3.4647812843322754,0.012383541092276573,0.012409972958266735,0.01241502445191145,0.012378288432955742,0.013991770334541798,0.37679001688957214,0.3882518410682678,0.37896454334259033,0.37536054849624634,0.4427703022956848,0.11584867537021637,0.11625584959983826,0.11596844345331192,0.11564261466264725,0.12865997850894928,,,,,,,,,,,,,,,,
9,549,,,,,,,,,,,,,,,,,,,,,,,4.999999873689376e-05,7.349999941652641e-05,3.232564267818816e-06,,,,,,,,,,,,,
