epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1022.6,1.01005,0.56358,0.00322,0.81243,0.78865,0.86841,0.64079,0.96266,0.71387,0.00388,0.00138101,0.00138101,0.00138101
43,1045.1,1.00191,0.52698,0.00312,0.83161,0.78448,0.87076,0.64244,0.99945,0.77008,0.004,0.00136781,0.00136781,0.00136781
44,1068.37,0.99681,0.52572,0.00319,0.77889,0.83825,0.86672,0.6558,0.92726,0.67574,0.00374,0.00135438,0.00135438,0.00135438
45,1092.66,0.96494,0.5135,0.00299,0.84811,0.80546,0.85877,0.63761,1.02208,0.75953,0.00417,0.00134073,0.00134073,0.00134073
46,1116.78,0.96474,0.47385,0.00284,0.82279,0.79396,0.86857,0.64135,0.97402,0.74142,0.004,0.00132685,0.00132685,0.00132685
47,1140.2,0.94026,0.48567,0.00297,0.84284,0.78879,0.87647,0.64891,0.99346,0.68421,0.00393,0.00131277,0.00131277,0.00131277
48,1162.07,0.96101,0.4851,0.00296,0.79011,0.82233,0.86055,0.64472,0.96035,0.7663,0.00376,0.00129847,0.00129847,0.00129847
49,1185.4,0.89983,0.48483,0.00273,0.80604,0.81466,0.8674,0.65396,0.94206,0.7458,0.00373,0.00128398,0.00128398,0.00128398
50,1208.24,0.98303,0.57876,0.00311,0.85292,0.80146,0.86091,0.65284,0.94966,0.70165,0.0038,0.00126929,0.00126929,0.00126929
51,1231.16,0.92533,0.45709,0.00283,0.8285,0.84052,0.87495,0.66268,0.92389,0.75017,0.00371,0.00125442,0.00125442,0.00125442
52,1253.55,0.93492,0.47798,0.00279,0.83784,0.83021,0.88782,0.65806,0.97583,0.64493,0.0039,0.00123936,0.00123936,0.00123936
53,1277.53,0.91106,0.4622,0.00278,0.83212,0.84988,0.90207,0.68474,0.91664,0.6415,0.00365,0.00122413,0.00122413,0.00122413
54,1301.88,0.87925,0.40389,0.00273,0.79287,0.84914,0.86659,0.64673,0.92597,0.77816,0.00371,0.00120873,0.00120873,0.00120873
55,1324.76,0.89161,0.4183,0.00272,0.81196,0.81624,0.8658,0.66008,0.90801,0.72619,0.00365,0.00119317,0.00119317,0.00119317
56,1347.52,0.91773,0.47102,0.00289,0.84882,0.78949,0.86705,0.64357,0.93122,0.7591,0.00368,0.00117746,0.00117746,0.00117746
57,1370.97,0.89514,0.45019,0.0028,0.8361,0.84212,0.88952,0.6648,0.93293,0.67109,0.00374,0.0011616,0.0011616,0.0011616
58,1394.35,0.89042,0.41925,0.00269,0.84711,0.8237,0.8865,0.66513,0.94221,0.70857,0.00376,0.0011456,0.0011456,0.0011456
59,1416.31,0.93865,0.48534,0.00295,0.85756,0.84536,0.89772,0.67554,0.91939,0.61258,0.00366,0.00112946,0.00112946,0.00112946
60,1439.87,0.90006,0.41436,0.00277,0.87477,0.8063,0.88943,0.67736,0.92807,0.67082,0.00369,0.0011132,0.0011132,0.0011132
61,1462.51,0.86874,0.40918,0.0028,0.88602,0.81602,0.89738,0.64635,1.01896,0.69667,0.00407,0.00109683,0.00109683,0.00109683
62,1485.42,0.88515,0.40546,0.00267,0.83902,0.85735,0.89221,0.66869,0.91052,0.69067,0.0036,0.00108033,0.00108033,0.00108033
63,1509.54,0.86668,0.43522,0.00268,0.79769,0.83133,0.87325,0.66143,0.92619,0.8024,0.00372,0.00106374,0.00106374,0.00106374
64,1533.4,0.83327,0.39642,0.00254,0.81596,0.84622,0.8841,0.67541,0.9183,0.73853,0.00366,0.00104705,0.00104705,0.00104705
65,1556.67,0.81378,0.38017,0.00249,0.85431,0.80603,0.87082,0.65475,0.95564,0.74651,0.00381,0.00103026,0.00103026,0.00103026
66,1579.72,0.85305,0.38158,0.00264,0.81249,0.86973,0.88546,0.6775,0.88645,0.71351,0.00353,0.0010134,0.0010134,0.0010134
67,1602.75,0.82664,0.38947,0.00247,0.84512,0.79689,0.86891,0.66884,0.93333,0.70941,0.00378,0.000996456,0.000996456,0.000996456
68,1625.63,0.83537,0.37247,0.00261,0.85367,0.78468,0.85429,0.65568,0.92306,0.78109,0.00371,0.000979447,0.000979447,0.000979447
69,1647.43,0.82153,0.39367,0.00254,0.80023,0.84147,0.88063,0.65945,0.94609,0.72172,0.00374,0.000962378,0.000962378,0.000962378
70,1670.87,0.78875,0.39286,0.00237,0.84837,0.83822,0.85977,0.65389,0.90167,0.74897,0.00361,0.000945256,0.000945256,0.000945256
71,1694.99,0.81348,0.38819,0.00246,0.8867,0.78017,0.87865,0.67214,0.88896,0.75472,0.00352,0.000928088,0.000928088,0.000928088
72,1718.99,0.81229,0.37872,0.00245,0.86853,0.80901,0.87833,0.67819,0.9103,0.69441,0.00359,0.000910883,0.000910883,0.000910883
73,1742.54,0.78655,0.34789,0.00239,0.81571,0.83544,0.87328,0.66635,0.90576,0.76541,0.00363,0.000893648,0.000893648,0.000893648
