epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8053,1.11011,6.09911,0.00331,0.64835,0.62686,0.66479,0.45968,1.15933,1.27381,0.00473,0.000546249,0.000546249,0.000546249
2,49.2006,1.25508,1.56222,0.004,0.68374,0.60056,0.67146,0.46581,1.23603,1.60543,0.00521,0.0011018,0.0011018,0.0011018
3,65.6428,1.33426,1.2297,0.00417,0.69696,0.61053,0.66093,0.47469,1.14507,1.37076,0.00472,0.00165686,0.00165686,0.00165686
4,81.8963,1.29179,1.08292,0.00411,0.66646,0.60176,0.65317,0.43336,1.37476,1.40367,0.00587,0.00166537,0.00166537,0.00166537
5,100.249,1.35722,1.1459,0.00441,0.6952,0.7284,0.74311,0.50763,1.26554,1.03388,0.00523,0.00166411,0.00166411,0.00166411
6,116.668,1.34655,1.018,0.0044,0.72766,0.66379,0.74244,0.51078,1.20579,1.02349,0.00494,0.00166248,0.00166248,0.00166248
7,132.835,1.24954,0.98628,0.00386,0.77025,0.7069,0.77261,0.54769,1.1289,0.94199,0.00464,0.00166049,0.00166049,0.00166049
8,151.136,1.26363,0.9698,0.00405,0.76389,0.73276,0.79012,0.53201,1.25562,0.91039,0.00519,0.00165815,0.00165815,0.00165815
9,166.784,1.26902,1.02047,0.00396,0.7886,0.75,0.79298,0.56316,1.09493,0.86844,0.00454,0.00165544,0.00165544,0.00165544
10,183.742,1.19155,0.88691,0.00391,0.64266,0.77155,0.76894,0.54654,1.11037,0.94647,0.00449,0.00165238,0.00165238,0.00165238
11,201.102,1.21323,0.87581,0.00376,0.71479,0.72671,0.7625,0.53818,1.159,0.95608,0.00485,0.00164897,0.00164897,0.00164897
12,217.32,1.22591,0.91953,0.00387,0.76337,0.74569,0.80868,0.55581,1.1028,0.82212,0.00442,0.0016452,0.0016452,0.0016452
13,234.348,1.22802,0.80119,0.0039,0.74605,0.70734,0.80325,0.55708,1.16395,0.86282,0.0048,0.00164108,0.00164108,0.00164108
14,253.079,1.19094,0.87401,0.0038,0.80157,0.72199,0.80132,0.57166,1.12282,0.88123,0.00461,0.0016366,0.0016366,0.0016366
15,273.69,1.1662,0.81385,0.00377,0.79651,0.68966,0.81783,0.57793,1.05614,1.01564,0.00435,0.00163178,0.00163178,0.00163178
16,296.125,1.15673,0.70425,0.00366,0.81118,0.7543,0.81377,0.58047,1.07266,0.87623,0.0043,0.00162661,0.00162661,0.00162661
17,318.475,1.18385,0.79342,0.00385,0.71537,0.81034,0.8278,0.57188,1.121,0.84733,0.00462,0.0016211,0.0016211,0.0016211
18,338.469,1.15167,0.7658,0.00358,0.75742,0.78419,0.83212,0.59973,1.06545,0.79852,0.00434,0.00161525,0.00161525,0.00161525
19,361.563,1.17707,0.73545,0.00368,0.79306,0.79123,0.8435,0.603,1.06979,0.83994,0.00437,0.00160905,0.00160905,0.00160905
20,383.024,1.13912,0.74813,0.00352,0.77647,0.73987,0.8266,0.5983,1.06724,0.81558,0.00431,0.00160252,0.00160252,0.00160252
21,404.051,1.10188,0.71775,0.00351,0.74712,0.72845,0.77782,0.57054,1.04067,0.9276,0.00415,0.00159566,0.00159566,0.00159566
22,425.339,1.10209,0.7121,0.00343,0.73312,0.74364,0.79686,0.56337,1.10314,1.10471,0.00441,0.00158847,0.00158847,0.00158847
23,441.425,1.14049,0.73241,0.00345,0.79899,0.74072,0.81281,0.56774,1.12815,0.85163,0.00453,0.00158094,0.00158094,0.00158094
24,457.864,1.10554,0.70388,0.00352,0.70425,0.78017,0.80425,0.58928,1.04496,0.83182,0.00426,0.0015731,0.0015731,0.0015731
25,475.682,1.1208,0.679,0.00357,0.78571,0.80603,0.85275,0.60998,1.10844,0.72461,0.00469,0.00156493,0.00156493,0.00156493
26,491.382,1.07099,0.65083,0.00327,0.7661,0.81213,0.84446,0.62596,0.97072,0.73592,0.00393,0.00155645,0.00155645,0.00155645
27,508.232,1.06161,0.63942,0.00328,0.76664,0.77552,0.82363,0.60109,1.05857,0.7624,0.00435,0.00154765,0.00154765,0.00154765
28,526.245,1.0871,0.63891,0.00339,0.75818,0.80888,0.84619,0.62668,0.98205,0.74476,0.00398,0.00153854,0.00153854,0.00153854
29,542.193,1.11635,0.63689,0.00339,0.78161,0.79741,0.83334,0.60898,1.04065,0.78486,0.00423,0.00152913,0.00152913,0.00152913
30,558.917,1.06418,0.62384,0.00328,0.79157,0.82158,0.83648,0.62315,0.99738,0.7639,0.00399,0.00151942,0.00151942,0.00151942
31,576.131,1.03965,0.5797,0.00324,0.82404,0.80519,0.85769,0.62882,0.99723,0.72115,0.00402,0.00150941,0.00150941,0.00150941
32,592.01,1.0278,0.56494,0.00316,0.79226,0.78444,0.82969,0.61366,0.97884,0.73294,0.00396,0.0014991,0.0014991,0.0014991
33,609.74,1.02685,0.55788,0.00324,0.80924,0.80807,0.8549,0.59576,1.13879,0.7976,0.00477,0.00148851,0.00148851,0.00148851
34,626.448,1.01275,0.56541,0.0032,0.83445,0.78448,0.84824,0.63386,0.99661,0.70634,0.00401,0.00147764,0.00147764,0.00147764
35,642.336,1.04601,0.63518,0.00324,0.80675,0.70259,0.80028,0.58156,1.07228,0.82705,0.00438,0.00146648,0.00146648,0.00146648
36,660.764,0.99722,0.55865,0.00307,0.85793,0.74472,0.85949,0.64427,0.97639,0.72837,0.00396,0.00145505,0.00145505,0.00145505
37,676.353,0.96985,0.5382,0.00298,0.78974,0.80172,0.84001,0.62459,0.94415,0.82389,0.00376,0.00144335,0.00144335,0.00144335
38,693.327,1.0022,0.55307,0.00316,0.76387,0.80474,0.84047,0.62329,1.00671,0.7785,0.00405,0.00143139,0.00143139,0.00143139
39,710.581,0.94225,0.50408,0.00284,0.79242,0.74995,0.79316,0.5968,0.96007,0.91099,0.00386,0.00141917,0.00141917,0.00141917
40,725.865,1.01383,0.59284,0.00301,0.86772,0.74569,0.85875,0.62285,1.03107,0.8015,0.00417,0.0014067,0.0014067,0.0014067
41,744.641,1.00345,0.52992,0.00301,0.72468,0.76396,0.79956,0.58443,1.01707,0.89399,0.00414,0.00139398,0.00139398,0.00139398
42,760.555,1.01183,0.54521,0.0031,0.8237,0.77586,0.83834,0.61572,0.97792,0.78594,0.00387,0.00138101,0.00138101,0.00138101
43,776.994,0.94096,0.51962,0.00281,0.83982,0.75431,0.8448,0.63992,0.9754,0.78117,0.00392,0.00136781,0.00136781,0.00136781
44,794.349,0.96868,0.51252,0.00287,0.77353,0.8122,0.85043,0.63685,0.97813,0.76396,0.00388,0.00135438,0.00135438,0.00135438
45,809.299,0.98268,0.50037,0.00308,0.81112,0.80603,0.85739,0.64135,0.9628,0.76617,0.00381,0.00134073,0.00134073,0.00134073
46,827.735,0.95787,0.47567,0.00291,0.77392,0.82759,0.85349,0.63193,0.95275,0.75448,0.0038,0.00132685,0.00132685,0.00132685
47,843.678,0.97043,0.50021,0.00303,0.75553,0.79741,0.8522,0.63374,0.95259,0.79974,0.00393,0.00131277,0.00131277,0.00131277
48,860.149,0.91813,0.46221,0.00277,0.78667,0.82759,0.86638,0.63581,0.9667,0.72613,0.00391,0.00129847,0.00129847,0.00129847
49,877.54,0.955,0.47391,0.00287,0.79252,0.77155,0.83754,0.6331,0.93938,0.78095,0.00371,0.00128398,0.00128398,0.00128398
50,894.145,0.946,0.45279,0.00292,0.78158,0.81595,0.85203,0.63215,0.97587,0.79794,0.004,0.00126929,0.00126929,0.00126929
51,910.394,0.89938,0.48533,0.00277,0.83064,0.82256,0.86348,0.63302,1.02718,0.71527,0.00419,0.00125442,0.00125442,0.00125442
52,928.394,0.96811,0.45587,0.00283,0.76576,0.78657,0.82306,0.62453,0.96153,0.86151,0.00387,0.00123936,0.00123936,0.00123936
53,943.867,0.90223,0.42819,0.00281,0.77147,0.84052,0.84625,0.62496,0.98684,0.79663,0.00392,0.00122413,0.00122413,0.00122413
54,960.75,0.91201,0.41887,0.00279,0.86003,0.77058,0.84877,0.64665,0.9468,0.84451,0.00374,0.00120873,0.00120873,0.00120873
55,978.945,0.90814,0.42876,0.00276,0.83637,0.83225,0.85703,0.65001,0.92113,0.73639,0.0037,0.00119317,0.00119317,0.00119317
56,994.646,0.89198,0.48467,0.00273,0.85434,0.8021,0.83135,0.62161,0.97573,0.84759,0.00388,0.00117746,0.00117746,0.00117746
57,1011.49,0.90257,0.44116,0.0028,0.82263,0.80176,0.85394,0.65119,0.9143,0.79599,0.00364,0.0011616,0.0011616,0.0011616
58,1029.07,0.92147,0.46021,0.00278,0.81156,0.84052,0.86398,0.62516,1.0698,0.80283,0.0044,0.0011456,0.0011456,0.0011456
59,1044.02,0.88061,0.42194,0.00267,0.78816,0.81466,0.84497,0.65104,0.89022,0.77344,0.00353,0.00112946,0.00112946,0.00112946
60,1062.19,0.87975,0.41859,0.00263,0.8434,0.81249,0.84055,0.63964,0.96531,0.72878,0.00383,0.0011132,0.0011132,0.0011132
61,1078.75,0.86819,0.4175,0.00273,0.79899,0.79826,0.84049,0.63687,0.97112,0.79577,0.00392,0.00109683,0.00109683,0.00109683
62,1094.57,0.86315,0.39322,0.00261,0.86679,0.8185,0.89172,0.66403,0.9027,0.722,0.00357,0.00108033,0.00108033,0.00108033
63,1112.87,0.86581,0.40618,0.00266,0.8368,0.84483,0.86829,0.64085,0.95638,0.73147,0.0038,0.00106374,0.00106374,0.00106374
64,1129.32,0.81018,0.36602,0.00241,0.80247,0.82108,0.85306,0.64172,0.99316,0.82052,0.00399,0.00104705,0.00104705,0.00104705
65,1145.28,0.80016,0.37276,0.00248,0.86933,0.76694,0.87168,0.66083,0.95048,0.70575,0.0038,0.00103026,0.00103026,0.00103026
