epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4238,1.11011,6.09911,0.00331,0.64835,0.62686,0.66479,0.45968,1.15933,1.27381,0.00473,0.000546249,0.000546249,0.000546249
2,42.6629,1.26239,1.57716,0.00405,0.73852,0.69051,0.75287,0.48245,1.38585,1.11609,0.00599,0.00109101,0.00109101,0.00109101
3,56.8714,1.33144,1.2798,0.00417,0.70489,0.63904,0.7177,0.50753,1.07928,1.13714,0.00445,0.00162476,0.00162476,0.00162476
4,70.848,1.32144,1.1205,0.00426,0.68311,0.70571,0.74239,0.50763,1.19663,1.06809,0.00486,0.00161749,0.00161749,0.00161749
5,84.9267,1.35684,1.13318,0.00435,0.69531,0.74988,0.77841,0.52364,1.25656,1.00201,0.00516,0.00160099,0.00160099,0.00160099
6,99.0447,1.31386,1.02291,0.00434,0.6757,0.68429,0.72678,0.50603,1.16898,1.09645,0.00486,0.00158448,0.00158448,0.00158448
7,113.011,1.23478,1.0067,0.00382,0.71122,0.67453,0.70704,0.51077,1.14933,1.06004,0.00474,0.00156798,0.00156798,0.00156798
8,127.183,1.25452,0.93213,0.0041,0.69983,0.71296,0.74993,0.49579,1.38499,0.9979,0.00574,0.00155148,0.00155148,0.00155148
9,141.33,1.27537,0.94598,0.00403,0.71735,0.74138,0.7663,0.55441,1.05986,0.96947,0.00437,0.00153497,0.00153497,0.00153497
10,155.487,1.20177,0.88746,0.00388,0.7291,0.72845,0.76356,0.5527,1.09036,0.88632,0.00448,0.00151847,0.00151847,0.00151847
11,169.527,1.22378,0.85455,0.00377,0.65979,0.83732,0.80352,0.58753,0.9942,0.84114,0.004,0.00150197,0.00150197,0.00150197
12,183.979,1.26398,0.90799,0.00404,0.58938,0.69397,0.70223,0.49198,1.22973,1.10469,0.00502,0.00148546,0.00148546,0.00148546
13,198.032,1.2442,0.81789,0.004,0.71949,0.78448,0.82529,0.56516,1.15472,0.83325,0.00469,0.00146896,0.00146896,0.00146896
14,212.211,1.16935,0.79753,0.00366,0.80259,0.69527,0.7882,0.57696,1.05194,0.88986,0.00421,0.00145246,0.00145246,0.00145246
15,226.308,1.17912,0.80757,0.00378,0.76055,0.72414,0.78101,0.56275,1.1123,0.82578,0.00458,0.00143595,0.00143595,0.00143595
16,240.458,1.14297,0.69557,0.00356,0.69329,0.74878,0.76542,0.54307,1.1617,0.90336,0.00481,0.00141945,0.00141945,0.00141945
17,254.525,1.12249,0.77079,0.00357,0.82009,0.73707,0.82592,0.6061,1.0317,0.76679,0.00422,0.00140295,0.00140295,0.00140295
