epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
6,405,,,,,,,,,,,,,,,,,,,,,,0.8027300834655762,0.49505093693733215,0.8472370505332947,0.9092898368835449,0.6767696142196655,0.809482753276825,4.148807525634766,0.8929420709609985,0.648890495300293,0.7287530303001404,0.7918103337287903,0.8109737038612366,0.8879310488700867
6,405,3876.424560546875,3756.121826171875,3756.4365234375,3807.46240234375,4.838163375854492,3.6927433013916016,0.0158127062022686,0.015820015221834183,0.015648914501070976,0.019712110981345177,0.5026192665100098,0.5054650902748108,0.4996882677078247,0.5707361102104187,0.15269950032234192,0.15311647951602936,0.15149572491645813,0.18232153356075287,,,,,,,,,,,,,,,,
7,449,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
7,463,,,,,,,,,,,,,,,,,,,,,,0.7571233510971069,0.4833604395389557,0.8410874605178833,0.9070665240287781,0.6758716702461243,0.8120689392089844,4.266626358032227,0.8886768817901611,0.6202418804168701,0.7178862690925598,0.7879310250282288,0.8742644786834717,0.8103448152542114
7,463,3884.59375,3758.534423828125,3790.955810546875,3822.393310546875,4.0679850578308105,3.3100461959838867,0.014174043200910091,0.014250626787543297,0.014231894165277481,0.017492378130555153,0.45235633850097656,0.45518946647644043,0.45320555567741394,0.52589350938797,0.13351163268089294,0.13463500142097473,0.1338881254196167,0.15929387509822845,,,,,,,,,,,,,,,,
8,499,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
8,521,,,,,,,,,,,,,,,,,,,,,,0.7353883981704712,0.504136323928833,0.8364661931991577,0.9079769849777222,0.6768328547477722,0.8163793087005615,4.586732864379883,0.8839266896247864,0.6197623610496521,0.7057121396064758,0.7887930870056152,0.8221552968025208,0.8534482717514038
8,521,3879.64111328125,3761.4267578125,3778.553955078125,3804.612060546875,4.474547863006592,3.412712574005127,0.0146053247153759,0.014911913312971592,0.014648566953837872,0.01845782808959484,0.4650859534740448,0.4645719528198242,0.46515345573425293,0.5477966666221619,0.1368134617805481,0.13838784396648407,0.1367940455675125,0.166497603058815,,,,,,,,,,,,,,,,
9,549,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
9,579,,,,,,,,,,,,,,,,,,,,,,0.7934184074401855,0.5052853226661682,0.8516314625740051,0.9076029062271118,0.680709183216095,0.8181034326553345,4.204102516174316,0.8703318238258362,0.6493518948554993,0.7377559542655945,0.807758629322052,0.8631805777549744,0.8405172228813171
